date,vendor,time,attendees,site,end
2025-06-19,Open Mic Night by Abby ,7:30pm,,https://www.instagram.com/itsabbye?igsh=dXp6OWpveXc2b3Fn,
2025-06-24,$1 Taco Tuesday ,5-8pm,,https://www.instagram.com/lolevbeer?igsh=MWpmdGRxNGI0c3BtZg%3D%3D&utm_source=qr,
2025-06-25,PGH.AI,6-8pm,,https://www.pgh.ai/,
2025-06-26,Open Mic Night by Abby ,7:30pm,,https://www.instagram.com/itsabbye?igsh=dXp6OWpveXc2b3Fn,
2025-06-28,I Lolev Karaoke: Country Edition ,9-11:30pm,,https://www.eventbrite.com/e/1422534191059?aff=oddtdtcreator,
2025-07-01,$1 Taco Tuesday ,5-8pm ,,https://www.instagram.com/lolevbeer?igsh=MWpmdGRxNGI0c3BtZg%3D%3D&utm_source=qr,
2025-07-03,Open Mic Night by Abby ,7:30pm,,https://www.instagram.com/itsabbye?igsh=dXp6OWpveXc2b3Fn,
2025-07-08,$1 Taco Tuesday ,5-8pm,,https://www.instagram.com/lolevbeer?igsh=MWpmdGRxNGI0c3BtZg%3D%3D&utm_source=qr,
2025-07-11,Eeeek! Punk Rock Prom,6-9pm,,https://www.instagram.com/p/DJki8uuupI-/?img_index=1,
2025-07-11,I Lolev Karaoke: Christmas in July Edition,9-11pm ,,https://www.eventbrite.com/e/i-lolev-karaoke-christmas-in-july-tickets-1458431270189?aff=oddtdtcreator,
2025-07-12,Dog of the Month Social ,2-4:30pm ,,https://www.eventbrite.com/e/1411278896169?aff=oddtdtcreator,
2025-07-15,$1 Taco Tuesday ,5-8pm,,https://www.instagram.com/lolevbeer?igsh=MWpmdGRxNGI0c3BtZg%3D%3D&utm_source=qr,
0205-07-15,Pride Run Club,6:30pm,,,
2025-07-19,Hoppy Valley Brew Fest,,,https://www.hoppyvalleybrewersfest.com/,
2024-07-24,Open Mic Night by Abby,7:30pm,,https://www.instagram.com/itsabbye?igsh=dXp6OWpveXc2b3Fn,
2025-07-25,Crush Happy Hour ,6-9pm,,https://www.instagram.com/crushhourpgh/,
2025-07-26,I Lolev Karaoke,9-11:30pm,,https://www.eventbrite.com/e/1487075425629?aff=oddtdtcreator,
2025-07-27,Lunch in the Streets with Tikka N Wrapz,12-2pm,,https://www.eventbrite.com/e/open-streets-at-lolev-lunch-in-the-streets-with-tikka-n-wrapz-tickets-1527410609249?aff=oddtdtcreator,
2025-07-29,$1 Taco Tuesday with El Rincón ,5-8pm,,https://www.instagram.com/lolevbeer?igsh=MXhhcmxsMHh5cXViMQ==,
2025-07-30,PGH AI ,6-8pm,,https://www.pgh.ai/,
2025-07-31,Lolev Beer and Food Glorious Food's Craft Beer Dessert Pairing ,7pm,,https://www.eventbrite.com/e/lolev-beer-and-food-glorious-foods-craft-beer-and-dessert-pairing-tickets-1501987688609?aff=oddtdtcreator,
2025-08-02,Dog of the Month Social ,2-4:30pm ,,https://www.eventbrite.com/e/1501859555359?aff=oddtdtcreator,
2025-08-05,$1 Taco Tuesday with El Rincón ,5-8pm ,,https://www.instagram.com/lolevbeer?igsh=MWpmdGRxNGI0c3BtZg%3D%3D&utm_source=qr,
2025-08-07,Open Mic Night by Abby ,7:30pm,,https://www.instagram.com/itsabbye?igsh=MTk4ZWJrYnk2bjBtaw==,
2025-08-08,I Lolev Karaoke ,9-11:30pm,,https://www.eventbrite.com/e/i-lolev-karaoke-early-2000s-edition-tickets-1545323416939?utm_experiment=test_share_listing&aff=ebdsshios,
2025-08-09,Barrel & Flow Fest,,,https://barrelandflow.com/,
2025-08-12,$1 Taco Tuesday ,5-8pm,,https://www.instagram.com/lolevbeer?igsh=MWpmdGRxNGI0c3BtZg%3D%3D&utm_source=qr,
2025-08-14,Open Mic Night by Abby ,7:30pm,,https://www.instagram.com/itsabbye?igsh=MTk4ZWJrYnk2bjBtaw==,
2025-08-18,LV United Volunteer Appreciation BBQ ,5:30-7:30pm,,,
2025-08-19,$1 Taco Tuesday ,5-8pm ,,https://www.instagram.com/lolevbeer?igsh=MWpmdGRxNGI0c3BtZg%3D%3D&utm_source=qr,
2025-08-21,Open Mic Night by Abby,7:30pm,,https://www.instagram.com/itsabbye?igsh=MTk4ZWJrYnk2bjBtaw==,
2025-08-22,I Lolev Karaoke: Diva's Edition,9-11:30pm,,https://www.eventbrite.com/e/i-lolev-karaoke-divas-edition-tickets-1595717657469?aff=oddtdtcreator,
2025-08-26,$1 Taco Tuesday ,5-8pm ,,https://www.instagram.com/lolevbeer?igsh=MWpmdGRxNGI0c3BtZg%3D%3D&utm_source=qr,
2025-08-28,Open Mic Night by Abby,7:30pm,,https://www.instagram.com/itsabbye?igsh=MTk4ZWJrYnk2bjBtaw==,
2025-08-30,Luxe Sip & Shop Pop Up,2-6pm,,https://www.eventbrite.com/e/luxe-pop-up-shop-at-lolev-beer-tickets-1520342949689?aff=oddtdtcreator,
2025-08-31,Lolevpalooza Festival,3-8pm,,https://www.eventbrite.com/e/lolevpalooza-tickets-1545730945869?utm_experiment=test_share_listing&aff=ebdsshios&sg=4232330a2c148daf488a9cb3d2f0951e8dbd9bd840d0ff9c3a23b50950b5ec705eb830c7816c5b1a91a0b9e9af447d265d26fcac2aaab1569447a8503738d1d1c6a781f7c65d31e8f0347b3250ff,
2025-09-06,Persad Block Party After Party ,6-9pm,,,
2025-09-08,Crazy Cat Lady Mixer ,7-9pm ,,https://www.eventbrite.com/e/crazy-cat-lady-mixer-with-trash-cat-rescue-tickets-1592154630359?aff=oddtdtcreator,
2025-09-09,$1 Taco Tuesday ,5-8pm,,https://www.instagram.com/lolevbeer?igsh=MWpmdGRxNGI0c3BtZg%3D%3D&utm_source=qr,
2025-09-12,I Lolev Karaoke: 90's Edition ,9-11:30pm,,https://www.eventbrite.com/e/i-lolev-karaoke-90s-edition-tickets-1665519917909?aff=oddtdtcreator,
2025-09-16,$1 Taco Tuesday ,5-8pm,,https://www.instagram.com/lolevbeer?igsh=MWpmdGRxNGI0c3BtZg%3D%3D&utm_source=qr,
